message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	conversation_id	speaker_id	speaker_number	split	essay_id
R_WoFlOJ6EsGnQNW1_2	R_WoFlOJ6EsGnQNW1	90	4.667	4.875	1.0	1.0	I just read an article Regarding a severe problem in the Chicago area with the fact that their public water supply has high amounts of lead traces. Just what I need, another worldly problem to stress about?!  Article shook me, as the health of not only myself but my children is of the upmost importance to me. I know, I don’t live in the Chicago area, but the article certainly made me think about the water that I drink every day, and my children drink and then just threw foods that I have cooked and prepared. Even my local town has just posted something on the fact that they need $3.2 million to repair the water mains in the one square-mile town as the water pipes are corroded and near health hazard. I Will be researching this locally. I will also be researching for more info on the subject	sadness	2	4	1	34	30000	7.0	6.5	6.5	7.0	7.0	4.857	1.143	3.857	4.571000000000001					
		58	1.1666666666666667	3.875			I find the article comical.  In these places, people are starving to death and the concern of some people is whether zoo animals are getting enough to eat.  The zoo animals should be slaughtered to feed people.  The horses slaughtered to feed to animals should be fed to people.  The animals probably shouldn't be in zoos to begin with, but now that they are they shouldn't come before human needs.  That's idiotic.  Just butcher the zoo animals, feed them to people, and be done with the problem.  That's my opinion.	Neutral	1	6	1	41	28000	2.5	2.0	1.5	2.0	1.0	3.286	4.429	2.714	2.571	37.0	48.0	1.0	train	36.0
R_2QtuGK8mFnoRDra_5	R_2QtuGK8mFnoRDra	409	7.0	1.0	1.0	0.0	So what can we do when genocide occurs in different parts of the world?  Does prayer help? Will war help or hurt more?  When people do not get along, not because of a shortage of food or water, but rather because a belief system is not universal, that is a human tragedy.   Saudi Arabia and Iran are prime examples of animalistic behavior at this point in time.    We here in America pretty much  killed off the American Indians because we wanted the land.  Nothing different is happening in the Middle East.  We always hear that might makes right but that's not truly the case.  Might makes blight and generations suffer till most of it is forgotten.  The moral is too  learn from our mistakes and the bad aspects of what history tries to teach us .	sadness	1	6	1	65	190000	6.5	5.5	4.5	6.0	7.0	4.0	1.714	3.286	3.286					
R_2TZApHajsn2LnN7_2	R_2TZApHajsn2LnN7	87	4.0	3.5	1.0	0.0	I just read this article about the doom of bananas that made me feel like an idiot. I like to think i am smart enough to process this type of article but the words used just had me lost. I wouldn't bother reading it if you still planned on it. It was informative but i felt like i was reading a manual.	sadness	2	5	1	37	46000	6.5	5.5	4.0	6.0	4.5	4.2860000000000005	2.286	3.714	4.0					
R_3slHYierJ4jwMKd_4	R_3slHYierJ4jwMKd	259	4.333	4.625	1.0	1.0	The situation in Yemen with the Saudi-led coalition against the Houthi rebels is one with a lot of controversy, and for good reason. This conflict is rife with airstrikes and drone strikes that drop on civilians and militants alike. Qatar is culpable in the slaughter of citizens, which puts them firmly against the Geneva Conventions. Of course, I do not celebrate the loss of their soldiers' lives, as their families back home are just regular citizens as well in all likelihood.	anger	1	4	1	28	3500	4.0	4.5	1.5	5.5	4.0	4.857	3.143	3.143	4.428999999999999					
		353	3.333333333333333	2.75			I think this is sad, although there aren't many details to know what really happened.  I can't decide whether I think it was worse or better that they died together.  Sort of strange to think what might have happened that cost them both of their lives.  You wonder if one of them caused the death of the other.  That would be pretty awful.  But I guess it doesn't really matter now.  It also seems lonely that the rescue people couldn't even get to their bodies.  Even though they're dead bodies it seems lonely that they'd be there without getting taken back to civilization.	Sadness	1	6	1	41	28000	2.5	2.0	1.5	2.0	1.0	3.286	4.429	2.714	2.571	85.0	48.0	2.0	train	584.0
R_210aQMrmGetROju_2	R_210aQMrmGetROju	86	1.0	1.0	0.0	0.0	It's interesting that so many people would have this reaction to the election. Sure, there's a lot of negative stuff surrounding the election and the president...but a lot of it is rhetoric and media. It doesn't seem as relevant on a local level. I guess it would depend on where you live...maybe I'm too isolated to understand.	neutral	2	6	1	35	60000	5.0	5.5	2.0	4.5	4.5	3.143	3.0	2.286	1.714					
R_WiLHtGk9n1H3i1z_4	R_WiLHtGk9n1H3i1z	272	4.0	4.25	1.0	1.0	It's one thing to kill another person with a motive. But who kills horses and animals?! They are completely innocent creatures. God we have used and abused these animals for centuries. I have no idea what kind of motive this killer has. These horses deserve so much more. It's almost worse than murder in my opinion. I really hope this guy gets caught.	anger	1	4	1	21	45000	5.5	6.5	2.5	6.0	6.0	4.428999999999999	1.857	3.0	4.0					
		23	5.0	4.75			 This story in Caphiridzange is horrific.   The tanker just pulled over to provide fuel to the residents of that region and it completely blew up hurting countless numbers of people.   There were a couple of ideas that were suggested what caused it but nothing was specific.   So many died and so many left injured.   	Neutral/Sadness	2	6	1	62	29000	6.5	2.5	1.0	6.5	2.0	3.571	4.0	2.143	4.429	385.0	8.0	2.0	train	884.0
		39	1.6666666666666667	1.0			so some government people killed a wolf. I feel like most people won't really care about this story too much. im sure this kind of thing happens on a regular basis. I didn't even know there were protected wolves out there. Are they near extinction? Who knows. I know if I was stranded in the wild I wouldn't be upset that a wolf was killed.	Neutral	1	6	1	34	68000	5.5	6.0	5.5	5.0	6.5	3.143	1.714	3.857	2.429	319.0	46.0	1.0	train	318.0
		34	7.0	4.375			This article is about Afghans that are moving back around Afghanistan and really are having a hard time finding anywhere safe and good to live. Some of them have moved to other places but are not able to be successful there and are moving back to Afghanistan even with fighting happening there. I feel so sad for anyone who has to live like this.	Sadness	2	6	1	47	110000	7.0	6.5	4.5	5.5	7.0	5.0	2.143	3.571	5.0	265.0	57.0	1.0	train	264.0
R_PGMi0XWOtOpaa89_1	R_PGMi0XWOtOpaa89	34	5.167000000000001	5.0	1.0	1.0	Having traveled through Afghanistan in the mid-1970s and having had a son deployed in Afghanistan during the US incursion, I can tell you that the country is profoundly backward and disorganized even at the best of times. This influx of refugees will cause chaos on a massive scale. The USA should help. If we are willing to invade and contribute to the destabilization of the country in our own interests, we should also be willing to come in as a magnanimous gesture and help out these poor people in the time of their need.	anger	1	4	1	64	27000	6.5	7.0	4.0	6.5	5.5	4.143	1.714	4.714	4.571000000000001					
R_2B4puxXUMXitzLT_2	R_2B4puxXUMXitzLT	159	3.167	5.375	0.0	1.0	it is about time that for profit education has had the breaks put on them.  provide a substandard education at the students and government's expense in unconsionable.  they should have been shut down years earlier.  there are so many cheaper and better alternatives to obtaining and education.  i don't feel sorry for them	anger	1	7	1	65	79000	6.0	6.0	6.5	5.0	6.5	2.143	1.0	2.571	3.143					
R_2VqoEbnL1j6X9WU_2	R_2VqoEbnL1j6X9WU	100	1.833	2.625	0.0	0.0	This will embolden Trump supporters stance on immigration reform.  I however do not believe just cause you are Muslim or an immigrant you are more prone to committing a terror attack.  Attacks of terror and mass shooting are mostly causes by angry white men. When It's a white man hes a lone wolf and when your from a foreign country its terrorism. I am not making excuses for what happened. Surly its tragic but lets not pool a whole race of people into a negative basket because of one or two bad eggs.	neutral	1	4	1	31	125000	6.5	5.5	5.5	5.5	4.0	3.714	3.429	3.286	3.857					
R_3rGtVh32jHkOn7O_5	R_3rGtVh32jHkOn7O	397	3.167	5.875	0.0	1.0	And in other news ushering in the apocalypse, Paraguay just mismanaged their water resources so poorly that one of their rivers almost completely has dried up, in addition to a drought. I feel like these types of things are going to become extremely common in our near future thanks to our current President's very uninterested feelings about global warming. We will likely never recover since we have long since not done enough to combat it, and millions worldwide are going to suffer and die as stuff like this becomes a seasonal thing.	fear	1	2	1	34	15000	4.0	5.5	1.0	5.0	1.0	3.429	3.143	2.4290000000000003	4.2860000000000005					
		218	1.8333333333333333	3.125			I just read an article about the amount of lead in American water. Apparently. the problem goes beyond the situation in Flint, Michigan. I think that in the coming years the availability of clean water is going to be severely restricted. People are going to be migrating from all over just to get closer to untainted aquifers.	Neutral	1	4	1	29	39000	6.0	6.5	1.0	6.0	5.5	5.0	2.286	3.286	4.143	491.0	25.0	2.0	train	990.0
R_1rftZXLZ8DysqyC_1	R_1rftZXLZ8DysqyC	50	5.332999999999999	1.0	1.0	0.0	Dear C., I just read an article about gun deaths -- specifically when guns are used against children. Small, isolated cases that happened in small towns. As I was reading the background and history of the families, it occurred to me that there's a strong socioeconomic component present, and that the people described weren't what you and I would call middle-class, and definitely not well-educated. It's like we were talking about the other day, I don't think that the dems can possibly win this fight unless they are able to appeal to gun owners. I don't think that this dynamic is going to change -- I mean, when you think about it, guns symbolize power, and in the article I read, what came across is that the people who used them against children (one child against another) need to feel power.	neutral	2	7	1	52	50000	7.0	5.5	2.0	7.0	7.0	4.428999999999999	1.571	3.143	4.857					
		368	3.0	3.625			"I'm so, so tired of rich white boys getting away with doing horrible things just because they're seen as ""respectable,"" and by respectable I mean ""absolute trash to women but men aren't scared so it's fine!"" It's like the Brock Turner rape case (the athlete) all over again. Women get targeted all the time and are scared to do so many things men just don't have to care about."	Anger	2	6	1	25	60000	6.0	5.0	2.0	5.0	6.0	4.143	1.714	3.857	3.429	398.0	13.0	2.0	train	897.0
R_1dp1n3Acz8fdB0F_3	R_1dp1n3Acz8fdB0F	228	5.832999999999999	4.625	1.0	1.0	We’ve been huge supporters of Ashton Kutcher’s campaign against human trafficking so I wanted to let you know of a situation I just became aware of. We usually think of human trafficking involving the kidnapping or sudden disappearance of a person. I just read about two pre-teen girls in Burma who were sent to work to help their family. Everything was legit at first, but as time progressed these poor girls, children really, were denied contact with their parents, tortured, and forced to work for no pay. My heart broke for them and for their parents. What’s even worse, the police ignored the parents’ request for intervention with no success. How agonized the parents must feel that they sent their daughters into this situation.	sadness	2	6	1	66	75000	5.5	4.0	7.0	6.5	5.5	3.571	2.4290000000000003	4.428999999999999	4.571000000000001					
		386	6.5	5.875			PTSD is something I personally know because I have friends with it. It is no joke and really makes people feel vulnerable. The troubles of war are something real dangerous and really make you think twice about enlisting. I think we must do what we can to research this and hope for better outcomes for people.	Hope/Neutral	1	6	2	32	35000	5.5	5.0	2.0	5.5	4.5	3.429	2.857	2.857	2.714	33.0	19.0	2.0	train	532.0
		11	1.3333333333333333	1.25			It's so sad that innocent civilians need to die because of war and fighting. These people did nothing wrong and were just minding their own business before their lives were taken away. It's not fair for the people and it's not fair for the families of the people that were killed as well. They are left without a family member and they have to live with that forever.	Sadness	1	6	1	29	85000	6.75	6.75	6.75	6.75	7.0	4.643	2.0715	4.143	4.643	446.0	17.0	1.0	train	445.0
R_3esJBiP6MpPHx3n_1	R_3esJBiP6MpPHx3n	72	5.667000000000001	2.25	1.0	0.0	Hey! Did you hear about the elephant stuff in Africa? I know you care a lot about the environment so I thought you should see this. There are some countries that are for the poaching of elephants if you can believe it. Some more rural communities say that the animals harm their crops. I've never heard this side of the argument before! I'm not saying I agree with it, but we're over here in America and have a way different perspective on the issues. It's interesting to see how different things are over there.	surprise	2	7	1	29	48000	6.0	4.5	2.5	4.5	3.5	4.143	3.714	4.857	4.857					
R_1o0waJFYMzMZBib_2	R_1o0waJFYMzMZBib	168	2.667	5.5	0.0	1.0	Hey, I know you asked me about what happened to that mother and her baby in New York and here's the full article. It's so sad...that baby could have lived their life to the fullest and now it's cut short. The mother will have to grieve over what happened to...It's so sad that things like this happen.	sadness	2	5	3	24	20000	3.5	6.0	1.0	4.0	2.0	2.4290000000000003	3.0	3.0	3.0					
		39	3.8333333333333335	1.125			I think it's pretty sad that the wolf got killed. I know that they're thinking about reintroducing wolves to a lot of areas because we've killed off so many of them, deer populations are spiking and because of that ticks and lyme disease are on the rise. They're saying it might become an epidemic. Anyway, I guess my point is that some people might say that we don't need to care about wolves because they're harmful or dangerous, but it turns out that we need them. Anyway. It's sad that the wolf died, and kinda crazy that he went out via sniper.	Sadness	2	6	1	25	60000	6.0	5.0	2.0	5.0	6.0	4.143	1.714	3.857	3.429	318.0	13.0	2.0	train	817.0
		57	4.0	4.0			"According to this statement ""But the animals? problems may not be over. ?Our experience rescuing and rehabilitating wild animals that have spent years in captivity?often in appalling and traumatic conditions?has taught us that this can lead to a wide range of physical and psychological problems,? Knight says"" It makes me sad that this situation is not close to being solved and some animals will still suffer."	Neutral	2	6	3	22	100000	5.5	4.5	3.5	6.0	6.0	3.714	2.857	2.571	3.429	98.0	5.0	1.0	train	97.0
		112	5.5	3.0			Dear friend,                                                                                                     I have just read an article about a massive fuel leak in British Colombia. It is threatening all of the wildlife in the area, as well as the water. I am worried about this and hope there is a way to stop it before it gets out of hand.	Fear	1	2	5	29	44000	5.5	6.0	4.5	6.0	5.0	3.714	3.0	3.429	3.429	414.0	7.0	2.0	train	913.0
R_1JL2ePKdivqfBS5_4	R_1JL2ePKdivqfBS5	328	2.333	1.875	0.0	0.0	I just read an article about the presidential campaign trail that focused on how sexist one of the candidates is. It's important that these issues are brought up, especially when it's on a national stage like this. I'm glad to hear people are publicly voicing their concerns and even revealing the troubling incidents they went through involving sexism. I hope after this political race is over, we can all reflect and learn to treat each other better.	neutral	1	5	4	40	70000	5.5	5.5	2.0	6.5	5.5	3.857	1.857	2.714	3.286					
		386	6.833333333333333	2.75			The sights and sounds of war are horrible and I would never blame a person for having PTSD. I'm happy that the one solider although he has PTSD, he is working though it and wants to show people that now all people with PTSD are dangerous and there is away to heal yourself after being in a such bad of a place.	Joy	1	6	3	37	40000	7.0	5.5	1.0	6.5	6.0	4.857	2.0	3.429	5.0	35.0	30.0	1.0	train	34.0
		245	5.5	6.25			Its a good thing the cops are asking for help because I dont feel like anyone else would at this point. The fact that the woman was found wandering in the middle of the night without a coat is scary. It also goes to show that most people do not help others. She was confused and obviously drugged I just hope she gets the help she needs.	Disgust	1	6	2	32	35000	5.5	5.0	2.0	5.5	4.5	3.429	2.857	2.857	2.714	239.0	19.0	1.0	train	238.0
R_2c5BkaXnplhofbP_3	R_2c5BkaXnplhofbP	188	2.333	1.0	0.0	0.0	I wonder if I recognize this guy.  I haven't heard of him up until now.  He was just a little before our time, although I'm sure he had an impact on many of the people we know.  It seems like he influenced many other comedians that I know. I plan on looking up his work to see what is out there of him.	surprise	1	6	1	34	99000	7.0	5.5	4.0	5.5	7.0	4.143	1.0	2.286	2.714					
R_2aOFGSQ3Y7fEc0P_3	R_2aOFGSQ3Y7fEc0P	169	4.5	4.25	1.0	1.0	Whenever you hear about tragedy you can't help but put yourself in their place and worry about how they feel. You wonder about how they react, and how they can believe that a simple accident can hurt someone that they love. I am sure that they will second guess themselves, and wonder how they could let something like that happen.	sadness	1	6	1	40	125000	6.5	6.0	6.5	7.0	7.0	3.857	1.429	2.4290000000000003	3.143					
R_1DDb7pcl8PkL7Rz_4	R_1DDb7pcl8PkL7Rz	321	3.333	5.25	0.0	1.0	Now a days crime rate increased and now no safe for Muslim religion on USA, the american's doing something fishy and wanted. on New York city A Muslim woman’s clothing was set on fire while she walked down New York City’s Fifth Avenue, the police suspected a man who is standing with lighter and who ran away.	neutral	1	7	1	32	70000	1.5	6.5	4.5	1.5	6.5	3.714	2.143	2.4290000000000003	3.429					
		134	1.5	1.125			This was pretty sad.  It is easy to take for granted the fact that we have clean and safe water to drink and bathe with on a daily basis.  These people were struggling and didn't even have that noe basic thing.  I can't imagine living somewhere where I didn't feel like I had clean and safe water.  I don't drink the tap water here but I know I can buy it in a store and drink that safely.  It sounded like these people didn't even have that option and it was totally unfair to them.  	Neutral	2	7	1	38	42000	7.0	3.5	6.5	5.5	6.5	3.429	2.714	2.571	3.857	110.0	24.0	2.0	train	609.0
R_r2BUVTFqmBdanQd_3	R_r2BUVTFqmBdanQd	211	2.167	1.0	0.0	0.0	I personally don't agree with science making these kinds of decisions. Maybe, just maybe, a higher power didn't want these people to reproduce? How do we know that these methods don't permanently change something in the DNA that helps guarantee that a serial killer is born four of five generations down the line. How do we know? There have been no studies. I would guess by this article that since boys that are born using this method also have low sperm counts, that something, or someone, somewhere, is trying to tell them something.	surprise	1	4	1	50	96000	6.0	2.5	1.5	4.0	7.0	1.429	1.143	3.429	1.286					
		174	5.833333333333333	6.0			I'm starting to feel like these militants dont represent that whole religion as a whole. I feel like they are twist to the religion that is out to give them a bad name., Kidnapping children is just too low even for the hardest of criminals. WE must do something to stop this and that is hurting their finances and freezing all of their bank accounts.	Neutral	1	6	2	32	35000	5.5	5.0	2.0	5.5	4.5	3.429	2.857	2.857	2.714	256.0	19.0	1.0	train	255.0
R_CkssYrqzZAFHsuR_2	R_CkssYrqzZAFHsuR	147	5.0	5.5	1.0	1.0	This article is so alarming. The fact that many Indonesians aren't safe in their own home country is very distressing. A lot of people can't afford to leave, so they're stuck risking their lives because of this haze, which is nothing that they can do anything about. A lot of innocent people are getting a raw deal, here.	sadness	2	6	1	27	25000	5.5	4.5	2.0	5.5	2.5	2.857	3.714	1.714	2.0					
R_1g7VoEtxvkSjfKS_5	R_1g7VoEtxvkSjfKS	366	4.833	4.75	1.0	1.0	I think zuckermans opinions on the oil import has some actual valid points. I feel like his plans and what he wants to do is a good idea. I also feel liek their are too many people just trying to make a quick few bucks, theyll do anything and everything to get there way. I feel bad for some of the less fortuanate consumers who have to be tricked into paying these ridulous high prices foroil.	joy	2	4	1	31	25600	5.5	6.0	6.5	6.0	5.5	5.0	4.2860000000000005	3.143	3.714					
R_r2BUVTFqmBdanQd_2	R_r2BUVTFqmBdanQd	166	2.5	1.625	0.0	0.0	Wow, killing someone in public? That takes some serious nerve. I don't particularly know whether she is guilty or not, but for it to be played out in the media isn't fair. While they may not have the same protections that the accused have in the United States, they should still give her a new trial, something quiet, out of the public eye, maybe even outside of the country, where she can get a fair trial based on the facts. If there is video of her spiking the coffee, or any indication that she has had any contact with cyanide, then I say she should get a retrial.	anger	1	4	1	50	96000	6.0	2.5	1.5	4.0	7.0	1.429	1.143	3.429	1.286					
R_28P2gI0KQDuyKDS_4	R_28P2gI0KQDuyKDS	301	4.167	5.0	1.0	1.0	Why are they prescribing things like that to such young kids? That's so insane. Benzodiazepines, especially, shouldn't be prescribed in general, in my opinion. Doctors are overly calm about the things they prescribe to people, people that young shouldn't be subjected to that, and the death tolls aren't surprising.	anger	2	4	1	30	24000	3.5	6.5	4.0	4.5	1.0	4.714	2.143	3.571	4.571000000000001					
R_3P624s3e9SkH0QT_3	R_3P624s3e9SkH0QT	251	2.833	1.0	0.0	0.0	Cricket players in England are likely going to have trouble sleeping after a 4th day of the first Test. Being in their shoes, playing hard and working together is the key to beating Bangladesh and they need to stay on top of their game in order to win. While it's physically demanding, giving up or blaming lack of sleep is simply not an option for the team.	neutral	1	5	1	29	25000	7.0	5.5	1.5	7.0	7.0	5.0	2.0	4.0	5.0					
		19	4.833333333333333	4.125			A just read a piece about the refugee crisis circa 2016. I'm wondering how many of the one million that Germany promised to provide asylum to are currently living in Germany. I know that this mass migration of refugees is part of the reason for the rise of nationalistic/fascist sentiment in a lot of places. I fear things are going to get a lot worse before they get better.	Fear/Neutral	1	4	1	29	39000	6.0	6.5	1.0	6.0	5.5	5.0	2.286	3.286	4.143	241.0	25.0	2.0	train	740.0
R_0CE9rf8V9zj643T_5	R_0CE9rf8V9zj643T	344	4.833	3.125	1.0	0.0	I feel like the shipwreck amongst other violence that occurred in this article is pretty sad. Like other articles that I have read, it seems like there is just so much death occurring and there is not too much coverage over it. The amount that we do see don't seem to even scratch the surface as there are many other acts of violence and events that occur that take the lives of many other people from places like third world countries that don't even get broadcasted at all. Sad to see that our world is slowly spiraling into this chaos that just continues to grow.	sadness	2	6	5	24	22000	4.5	5.0	3.5	4.5	2.0	2.714	4.428999999999999	3.286	4.143					
		58	5.666666666666667	4.625			I just read an article about how animals in Venezuela are starving to death because of the turmoil that is happening in that country. I feel like there should be some kind of action plan in place for animals in countries that are experiencing hardship so that they can be transported to other places in times of crisis. The thought of innocent creatures starving to death in cages really turns my stomach.	Sadness	1	4	1	29	39000	6.0	6.5	1.0	6.0	5.5	5.0	2.286	3.286	4.143	38.0	25.0	1.0	train	37.0
R_2sRLJwbjtucdn9a_4	R_2sRLJwbjtucdn9a	323	4.5	2.0	1.0	0.0	This article was quite interesting to me. It talked about the invention of a new male contraceptive. It talks about the potential side effects that steer men away from using the contraceptive. The writer of the article mocks men for avoiding these contraceptives when female contraceptives have way more side effects to them. I personally disagree with the writer - if male contraceptives were invented before female contraceptives, I believe that males would have no problem using them despite the side effects. What are your thoughts?	neutral	1	4	5	19	1000000	6.0	5.5	3.0	6.0	6.0	4.0	3.429	4.0	4.143					
R_NXWUciQSQ1AJ7PP_1	R_NXWUciQSQ1AJ7PP	1	2.0	1.375	0.0	0.0	This is really sick and disturbing don't you think? These soccer hooligans got all rowdy and worked up and when they were acting out like idiots they hit an eleven-year-old child in the head with a bottle. Poor kid had a big gash and had to go to the hospital and everything. That's pretty sad and pathetic, even though they probably didn't really mean to do it.	sadness	1	5	1	54	16000	1.0	7.0	1.5	1.5	2.0	2.857	2.857	4.2860000000000005	1.0					
		398	6.166666666666667	6.0			I think its really sad we need to do something these animals are precious and do not deserve to be killed off not only unknowingly but also so scary. Imagine flying like a free bird and all of a sudden facing a sudden death at the hands of these wind turbines. That is something just scary overall to be quite honest.	Fear/Sadness	1	6	2	32	35000	5.5	5.0	2.0	5.5	4.5	3.429	2.857	2.857	2.714	200.0	19.0	2.0	train	699.0
R_z2Ua6AbIBF0WXh7_5	R_z2Ua6AbIBF0WXh7	341	7.0	1.125	1.0	0.0	I am writing to you in response to an article I just read about Nevada and the water supply. It is of a truth, as the article points out that the news media primarily only follows what happens in California, and not Nevada. Which is the driest State, and in need of attention and assistance. I'm impressed with Verna Brady, 86-year-old resident there. Who cites she would rather move forward, than behind, that she, although an elder with many childhood memories, would rather adapt to what's required for today, than harbor on what use to be. That's a large statement, because when it comes to tribes in America, a lot do not to be displaced, or relocation, creating emotional and psychological problems are the results. However the present state is also causing more abuse factors in the family.	joy	2	4	1	33	60000	7.0	7.0	5.5	7.0	7.0	5.0	1.429	3.571	5.0					
R_b9PntTdyM0vgfbb_2	R_b9PntTdyM0vgfbb	163	6.0	6.0	1.0	1.0	did you hear about that Indian girl from Kashmir who got blinded by the government with pellet guns that have sharp edges. She wasn't doing anything but standing by a window. These corrupt governments are so evil. Kashmir is being fought over and innocent people are being killed and hurt. It really is disgusting what these governments are doing.	disgust	2	5	1	58	20000	6.0	6.0	6.0	6.0	6.0	4.0	3.143	3.429	4.143					
R_2QtuGK8mFnoRDra_3	R_2QtuGK8mFnoRDra	225	7.0	1.0	1.0	0.0	"It is a sad world when lives are threatened daily.  let's remember when we here in America were fighting each other during the civil war.  war is hell whether you are on the ""right"" side or the ""wrong"" side.  Both sides invariably lose something.    Does it make sense to have war?  Is it a human condition that we will never be able to contain?  I know these are open ended questions but are we like the herds of animals that migrate and take over others' territories when food and water are needed.   I believe we can be better by accepting our differences and finding common ground for the welfare of all."	sadness	1	6	1	65	190000	6.5	5.5	4.5	6.0	7.0	4.0	1.714	3.286	3.286					
