essay	emotion
What i don't understand about most of these comments is that people are saying that girls with short hair are automatically lesbians or the clothes they're wearing. Looks don't Define Who You Are. It doesn't mean if a girl has short hair or if they're clothes not girly enough doesn't mean girls are automatically lesbians!! You can't just put a label on someone and call them something that they are not without knowing their real lives and stories!!	hope
I never understood racism. I grew up thinking what’s the problem with with different colored humans they’re literally the same but different colors.nTo this day I still don’t know why people think 1 race of humans is better than another race when they’re exactly species	hope
growing up extremely low income and as a woman of color engineering resources were not handed to me there were no toys this warmed my heart to know that girls my nieces age have toys like this regardless of that I'm honored to say I've been accepted to some incredible universities as a bioengineering major so screw anyone who tells young women especially minoritiy disadvantaged  that we can't do it because we can	hope
I love this. I get a little discouraged every time I go to class.I  am the only girl among 110 students in my class. I am currently in my fourth year studying civil engineering. It has been an interesting and challenging ride for me. Listening to Debbie Sterling talk about her experiences gives me hope for this and the next generation of engineer girls.	hope
im sitting here watching this and when he says 'god gave us a choice my choice is to love' im trying not to cry bc my family doesn know yet i told my mom but not really anybody else in my family	hope
ALL LIVES MATTER NOT JUST BLACK LIVES. EVERYONE IS GODS CHILDREN. NO ONE IS ABOVE ANOTHER. WHAT WE HAVE SEEN CURRENTLY IS EXTREME MAOIST ATTITUDES. DEMOCRATS  ONLY PANDER TO THESE ANTIFA AND B.L.M. EXTREMIST GROUPS. -CCFP coalition of the conservative free people.	hope
I find it funny at the amount of attention the lack of female engineers gets while ignoring that females are outperforming males in every aspect of school BESIDES engineering. Females have such options to their career fields but men have not had the same options opening up for them outside of traditional job roles	hope
It's not like I feel I can not because I'm a woman I just don't want to and there is nothing wrong with that there is nothing I can not do because I'm a woman this is just not the path I want to take	hope
Yeah all lives matter dude that includes black lives ALL means every what is it just like ofcourse every life matters besides black lives so we absolutely need to call it black lives matter to make people realize that or am I right and black lives matter is racist.	hope
Candra Rakhmasari nYES!!! using religion to abuse someone and take away their rites goes against the golden rule. Do onto others as you want done to you. It goes against peace when treating people with hate. It makes me so mad when people use religion to abuse other people	hope
You have to check out the trailer for imperium.  all the easily offended are coming out of their hidey holes.  It's sad.  Just scroll through the comments and you will find cancer.  it's disgusting to see people find a way to hate a movie that is purposefully being as neutral as possible while also making a statement on the world's problems.  Please.  I want to see your opinion.	hope
Hive-Mind. Emotional Contagion. Mass Hysteria. Bandwagon. Victim Mentality. Woe-is-Me. Covid-19 Boredom. Pent-up Frustration/Anger/Aggression. Lost sheep looking for a(ny) cause. Misled n Astray. Baaah! Deflection. Diversion. Distraction from all the real issues on our planet! What ever happened to creating/contributing/community/unity? - And making oneself useful (rather than spreading viruses	hope
I could maybe be sympathetic if they were less vague. All I hear is them ascribing sinister motives to people who seem like they are just being overly friendly nerds.nAnd these testimonials right before the statstics on women engineers in Silicon Valley seem to imply that the reason that there are less women in tech there is because it is a hostile environment for women. But step in your typical engineering classroom in America and then tell me that there are as many women interested in engineering as men. A gender inbalance   does not automatically mean discrimination	hope
+Steven T.Parker Is never wrong to have an inspiration to do something and everything can be for you if you like it and work hard. And about this not being a touchy feely subject it is for her different things mean different things for different people. Maybe you don't care but you haven't face the problems or fears she has.	hope
I'm am fortunate to live where I do. If you contribute and act as a decent person you are treated equally the same. Regardless of race religion etc. Knowones life here is undervalued. Not even the sorry people of all colors.	hope
i am a girl when i told my family about me doing engineering my brother saud to me get over your self girls don't do engineering .. well it kind broke my heart i don't know what to do now	hope
She said it bothers her that people call her smart when she wanted to be pretty. I had the exact opposite complaint at that age - I wanted to be called smart instead of pretty. I am a Roboticist today with an extensive background in both software and hardware. I have friends who's parents encouraged them to go into STEM that hated the idea and felt pressured	hope
In my Engineering and Architecture Department around half the students are women  It has really come a long way as to decades ago where only a handful of women are in class. Our landscape architecture and chemical engineering graduates are all women. Why? I have no idea to be honest	hope
even if shes talkin for women i as a male was really motivated by her. I always wanted to be an engineer but i lack of confidence that maybe im not smart enough(or not born smart enough) but its more like how bad you want it.	hope
Every parengts wiling to put their child into mental and physical abuse in one of those so called therapy camp should be charged for child abuse. This is revolting and I don't understand why in the Obama era they didn't do anything. Now with Trump it's gonna continue and worsen	hope
I am a girl/woman and an electrical engineer. nWhen I was a little girl I always wanted to have the lego stuff of my big brother and i loved to fight with selfe made weapons... but my mother always wanted a cute little girl which will get an artist or sth like this	hope
All lives matter. There I said it. God bless you sir. I don't know you from diddly squat.  I have respect for you. Because you wear the badge and the uniform. You come across all kinds of people good or bad. God bless you and men and women that are   in law enforcement.  Some cops do good no matter what. There is good and bad in all people. Just remember folks we bleed the same color. God bless the USA.. We need his blessings bad.	hope
Her eyes are so beautiful. Very striking. You can tell this is very heartfelt and emotional and genuine. She has become very soft spoken here and it says much to the love she has in her heart for the underdog and those who suffer. Wonderful Madonna.	hope
It’s a fact but it’s not the case at this time. We don’t have oppression at such a large scale by ‘all races’. There are problems in the black community that needs to be fixed at this very moment. Of course all lives matter but saying all lives matter against black lives matter is like math. You have a problem you need to solve so you solve one problem at the time	hope
Blue Lives Matter. Black Lives Matter. Hispanic Lives Matter. Asian Lives Matter. White Lives Matter. ETC.....All Lives Matter! Defend the Police. Reduce crime. Stop resisting arrest. Stop talking back. Obey the Law. Respect the Police and anyone in Authority. Simple Rule. Criminals are like Children. You need to punish bad behaviors. Law and Order and Justice=A Civilized Society.	hope
I dont understand why it is up to anyone else but yourself to make the decision to become an engineer or whatever. The great thing about america or any other nation that is similar is that if you work hard you can accomplish pretty much anything you set your mind to. Obviously you need to network and some luck but saying you need to get more diversity just to get more diversity is absurd. I dont care who the engineer that helps make my bridge	hope
Being pro-life and pro-sterilization is not hypocritical. nnBasically you can believe that a mother shouldn't get herself pregnant AND believe that if she does get herself pregnant that she shouldn't be allowed to murder her kid.nnThis is no stranger than pro-life people advocating abstinence. They're not trying to make sure women have babies; they just don't approve of murdering children.	hope
