message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	essay_word_count	essay_id	fear_count	anger_count	anticipation_count	trust_count	surprise_count	positive_count	negative_count	sadness_count	disgust_count	joy_count	hope_count	empathy_count	distress_count	empathy_level	distress_level	prompt_bio	prompt_emp	prompt_emo
R_2b3pz3yErFof7J0_3	R_2b3pz3yErFof7J0	186	6.0	7.0	1	1	The article that I just read was about the ongoing violence and fighting between Kenya and South Sudan. The words in the article really struck a nerve with me. It made me cry. There have been thousands of people who have lost their lives during this argument. It makes me want to reach out and help in any way possible. The fighting needs to stop and peace needs to be restored between these two nations.	sadness	2	6	1	28	44000	6.5	6.5	6.0	6.5	6.0	4.714	2.286	3.857	4.857	75	10	0.045454545454545456	0.22727272727272727	0.09090909090909091	0.045454545454545456	0.0	0.09090909090909091	0.3181818181818182	0.13636363636363635	0.0	0.045454545454545456	0.06666666666666667	3.049596949391324	2.808810254610562	medium	medium	An essay about the article 186, written by a 28 years old white female, with a four year bachelor's degree, with an income of 44000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: anger.
R_bClDeCMHTrXnuNP_2	R_bClDeCMHTrXnuNP	158	3.333	2.0	0	0	Hey I just read this article about more craziness ISIS is doing? Sometimes the articles have so many names of places I don't recognize and can't pronounce that I get a little off track of the point of the article. I gues those terrorists are using people as human shields to keep and take control or surroundings areas. They know this is against UN policy, but I doubt they care. There is always something going on in the Middle East, it seems nothing gets better for the people just trying to live. I feel like something should be done to improve the situation, but it's been bad since I was a kid and I doubt it'll get better.	sadness	2	6	1	42	70500	6.0	2.0	2.5	4.0	4.0	3.143	3.143	3.429	3.429	118	11	0.15789473684210525	0.05263157894736842	0.10526315789473684	0.21052631578947367	0.0	0.05263157894736842	0.15789473684210525	0.15789473684210525	0.05263157894736842	0.05263157894736842	0.058823529411764705	2.51010399368267	2.339573797015446	low	low	An essay about the article 158, written by a 42 years old white female, with a four year bachelor's degree, with an income of 70500$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: sadness.
R_2EougSpp1xd4X4Z_5	R_2EougSpp1xd4X4Z	353	6.5	4.875	1	1	Seems like so many tragic accidents have been happening lately. I just read another article about the tragic death of a father son that took place during a hike. The both of them fell off a cliff and died recently while exploring the outdoors. There was an attempt made to recover their bodies but the exact cause was not specified. Poor souls. I pray that their family may be given strength as they discover the tragedy.	sadness	1	2	1	30	25000	7.0	5.5	4.0	7.0	5.5	5.0	3.857	4.0	5.0	76	12	0.16	0.04	0.12	0.12	0.08	0.08	0.2	0.12	0.04	0.04	0.06666666666666667	3.1316022753361867	2.8612065336723402	medium	low	An essay about the article 353, written by a 30 years old white male, with a high school diploma, with an income of 25000$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: fear.
R_1E52pkDzk4NF6WW_5	R_1E52pkDzk4NF6WW	371	4.833	5.375	1	1	As we all know, there has been much media on police brutality. There are many police officers that believe they are above the law, and the common citizens doesn't have any rights when they are interacting with them. Unfortunately, it's very sad to say, that even if a citizen is innocent, if they don't cooperate to the fullest, the police can physically harm them, even possibly lead to being shot and killed. This is very scary! So, while I don't believe all officers are like this, one is too many!	sadness	2	2	1	40	85000	6.0	6.0	5.5	6.0	6.0	3.714	3.571	3.429	3.714	90	13	0.24	0.08	0.0	0.2	0.04	0.28	0.12	0.04	0.0	0.0	0.0	2.8699553009574035	2.839025385361612	medium	medium	An essay about the article 371, written by a 40 years old white female, with a high school diploma, with an income of 85000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: fear.
R_3oGWvgpA3WsRlRG_3	R_3oGWvgpA3WsRlRG	193	4.333	1.75	1	0	This is sad and such a strange case. I don't know who to side on. While it would have been good to stop the boat to look it also might not have mattered depending on where he fell into the water. I don't really care about them being gay or the fact that they say they were harassed that shouldn't matter in the case anyway.	sadness	2	4	1	32	25000	4.5	5.5	1.5	3.5	2.0	4.428999999999999	4.0	3.286	4.428999999999999	65	14	0.14285714285714285	0.0	0.07142857142857142	0.14285714285714285	0.07142857142857142	0.07142857142857142	0.21428571428571427	0.21428571428571427	0.0	0.07142857142857142	0.1111111111111111	2.6858005528333906	2.548861029126215	low	low	An essay about the article 193, written by a 32 years old white female, went to college, with an income of 25000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: sadness.
R_Dwv0KHEDJhBKMO5_1	R_Dwv0KHEDJhBKMO5	45	6.332999999999999	4.75	1	1	Reading this article makes me feel sad for many reason. I myself have no idea why those countries are always at war and why so many people are loosing their lives. It also makes me sad to imagine myself in a situation where I am constantly in fear of my life. With so many being lost already it makes me sad to think about these things continually happening.	sadness	2	6	3	36	30000	7.0	6.5	5.5	7.0	7.0	4.2860000000000005	1.571	4.2860000000000005	4.857	68	15	0.2222222222222222	0.1111111111111111	0.0	0.1111111111111111	0.0	0.1111111111111111	0.3333333333333333	0.1111111111111111	0.0	0.0	0.0	3.1756365862302753	3.0947142973758353	medium	medium	An essay about the article 45, written by a 36 years old black or african american female, with a four year bachelor's degree, with an income of 30000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: fear.
R_3Gm64BvSHkOeisK_1	R_3Gm64BvSHkOeisK	54	1.167	1.0	0	0	I just read an article about America's refugee problem, that talked about the Somali community in Minneapolis. I can't believe the emotional language they tried to use in the article; it just makes me sick to see any reporting that doesn't only concern the facts, with no editorializing by the author. I wish that everyone who decided to become a writer would learn that there is no place for opinion in the news.	sadness	1	4	1	34	55000	7.0	1.5	1.0	4.0	7.0	1.286	1.0	1.0	1.286	73	16	0.07142857142857142	0.0	0.0	0.14285714285714285	0.0	0.35714285714285715	0.14285714285714285	0.21428571428571427	0.07142857142857142	0.0	0.0	2.570467739636896	2.441225217124561	low	low	An essay about the article 54, written by a 34 years old white male, went to college, with an income of 55000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: sadness.
R_vUBJ2mNrSE6rEGd_5	R_vUBJ2mNrSE6rEGd	399	2.0	2.0	0	0	There was a person in the articles that was muslim and at a bar for nightly events.  They got into a dispute with another person and then the other person killed them.  The investigators said something about donald trump and his hatred toward muslim people maybe having something to do with making the murderer feel justified in his actions.	sadness	1	6	1	34	10000	4.0	5.0	5.0	4.0	4.5	3.857	3.286	3.286	3.571	59	17	0.15384615384615385	0.23076923076923078	0.0	0.0	0.07692307692307693	0.0	0.23076923076923078	0.15384615384615385	0.15384615384615385	0.0	0.0	2.810781171435439	2.841866405692822	low	medium	An essay about the article 399, written by a 34 years old white male, with a four year bachelor's degree, with an income of 10000$.	The essay expresses low empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: anger.
R_8joL7gIQVWifia5_4	R_8joL7gIQVWifia5	289	6.0	2.25	1	0	This is really a moving story and I could see it being motivating for a lot of women. They can realize that anyone can be at risk for cancer. It doesn't matter whether you are a favour actress or an ordinary person. It can be devastating to families and often affects them in many different ways. Such stories should be more accessible to give people hope.	sadness	1	4	1	37	72000	7.0	7.0	4.5	7.0	7.0	4.2860000000000005	1.286	4.2860000000000005	4.857	66	18	0.15	0.1	0.1	0.1	0.05	0.1	0.15	0.1	0.1	0.05	0.0	2.8506820916175286	2.7013972114137514	medium	low	An essay about the article 289, written by a 37 years old white male, went to college, with an income of 72000$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: fear.
R_1n8frNuDYCk5bfB_2	R_1n8frNuDYCk5bfB	116	5.332999999999999	5.875	1	1	"Did you know that the spread of cholera is so terrible?  I had no idea this was still such a daunting issue so many people face.  I agree with a line in the article that said ""The idea that people are still dying in 2015 of cholera is outrageous.”  I feel so heartbroken that people are dying simply because they don't have clean water and appropriate medical care."	sadness	2	4	1	34	90000	7.0	3.5	1.5	7.0	6.5	4.428999999999999	2.0	2.571	4.2860000000000005	68	19	0.1875	0.09375	0.03125	0.0625	0.03125	0.09375	0.15625	0.15625	0.15625	0.03125	0.0	3.050850538399819	3.0264287722940173	medium	medium	An essay about the article 116, written by a 34 years old white female, went to college, with an income of 90000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: sadness, disgust.
R_1hGrPtWM4SumG0U_1	R_1hGrPtWM4SumG0U	67	5.667000000000001	4.375	1	1	it is really diheartening to read about these immigrants from this article who drowned.  it makes me feel anxious and upset how the whole ordeal happened.  it is a terrible occurrence that this had to happen at the mediterranean sea.  thankfully there were some survivors.  the fact that babies were lost makes it that much more emotional to read all of this	sadness	1	4	1	33	50000	6.0	5.0	5.0	5.5	5.5	3.571	2.0	3.429	4.0	62	20	0.1	0.15	0.1	0.05	0.05	0.1	0.25	0.15	0.05	0.0	0.0	3.419628210928394	3.1998006314802248	medium	medium	An essay about the article 67, written by a 33 years old white male, went to college, with an income of 50000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: anger, sadness.
R_3IcLlPaNnV7X4qq_3	R_3IcLlPaNnV7X4qq	208	2.167	1.5	0	0	I just read this article indirectly about climate change that I know you'll find interesting. It talks about the extinction of three different species. It's a sad situation, but if you read it, it was almost entirely the fault of man, and climate change only played a small part. The worst part is that it could have been prevented if somebody had sounded the alarm in time.	sadness	1	4	1	42	105000	6.0	5.0	1.0	5.0	4.5	3.571	1.571	4.143	3.714	67	21	0.3	0.0	0.1	0.0	0.1	0.1	0.3	0.1	0.0	0.0	0.0	2.4734010784209244	2.4343981234138767	low	low	An essay about the article 208, written by a 42 years old white male, went to college, with an income of 105000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: fear.
R_3prLLdsKpegL9zB_2	R_3prLLdsKpegL9zB	99	6.0	1.0	1	0	Just read an article about a celebrity's parents divorcing, which definitely sucks, since that's always been something I've feared would happen with my parents. I don't think the writer of the article understands the emotional weight of the situation, though, since they only seem to care about the fact that the dad that filed for divorce is good looking.	sadness	1	2	2	20	80000	6.5	4.0	1.0	4.0	3.5	5.0	5.0	5.0	5.0	59	22	0.0625	0.0625	0.125	0.15625	0.125	0.125	0.09375	0.0625	0.09375	0.09375	0.08333333333333333	2.722281037890824	2.3690262386156973	low	low	An essay about the article 99, written by a 20 years old hispanic or latino male, with a high school diploma, with an income of 80000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: surprise.
R_1hXwedaK7Yvdoyd_5	R_1hXwedaK7Yvdoyd	356	1.0	1.0	0	0	I think its fine that people protest. I dislike president Trump as much as those protesters. But what they are doing its wrong. They cant be destroying property or been a menace for other people. Guys, do it peacefully, that's the best way to do things, otherwise you will get arrested and in trouble.	sadness	1	2	2	27	39000	5.0	5.5	2.5	3.5	1.0	3.429	3.429	3.0	3.571	54	23	0.15384615384615385	0.23076923076923078	0.0	0.07692307692307693	0.0	0.07692307692307693	0.3076923076923077	0.07692307692307693	0.07692307692307693	0.0	0.0	2.5114151671977134	2.514355717025435	low	low	An essay about the article 356, written by a 27 years old hispanic or latino male, with a high school diploma, with an income of 39000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: anger.
R_b1TbRrcCazNh0Qx_2	R_b1TbRrcCazNh0Qx	160	3.667	2.75	0	0	I just read that poaching of rhinos for ivory has gotten so bad in South Africa that they've begun expanding and now have anti-poacher armies. I say good for them. The animals can't fight back, but hopefully the army can deter poachers. I know the poachers do it because they can make a lot of money, but I just don't understand it. Big game hunters/trophy hunters and poachers are one in the same to me. I think they are both ridiculous reasons to harm or kill any animal. The anti-poaching armies have a scary, but, I think, extremely necessary job.	sadness	2	4	3	33	60000	6.5	6.5	4.5	7.0	4.0	3.286	3.0	4.714	4.857	100	24	0.14705882352941177	0.14705882352941177	0.08823529411764706	0.058823529411764705	0.058823529411764705	0.08823529411764706	0.17647058823529413	0.08823529411764706	0.08823529411764706	0.058823529411764705	0.058823529411764705	2.5173461724462487	2.5196251834516903	low	low	An essay about the article 160, written by a 33 years old black or african american female, went to college, with an income of 60000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: anger.
R_sLqHaHugH6UNWmJ_5	R_sLqHaHugH6UNWmJ	399	1.0	1.0	0	0	This is so sad, but I think it had a lot to do with a bunch of college kids drinking and partying, and then something going terribly wrong.  I think there was a group of kids that started arguing with the guy and one got pretty riled up and hit the guy.  I find it interesting that there were things that were not being commented on.  I think there's a lot more to this story than what the school is reporting.	sadness	2	6	1	58	60000	6.5	5.5	5.5	5.0	5.5	2.857	2.0	1.714	2.4290000000000003	81	25	0.0	0.09090909090909091	0.09090909090909091	0.18181818181818182	0.0	0.18181818181818182	0.2727272727272727	0.09090909090909091	0.0	0.09090909090909091	0.06666666666666667	2.6863020070718893	2.4435757509937845	low	low	An essay about the article 399, written by a 58 years old white female, with a four year bachelor's degree, with an income of 60000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: anger, sadness, joy.
R_1n8frNuDYCk5bfB_4	R_1n8frNuDYCk5bfB	313	4.667	5.75	1	1	Are you aware that only certain refuges are helped and accepted?  I can't imagine the heart break that they endure traveling so far thinking they are safe to be turned around and denied.  The whole system is so flawed.  There is no appropriate help for these people!  They have so many unfair hurdles to go through.	sadness	2	4	1	34	90000	7.0	3.5	1.5	7.0	6.5	4.428999999999999	2.0	2.571	4.2860000000000005	56	26	0.0	0.07692307692307693	0.0	0.15384615384615385	0.07692307692307693	0.23076923076923078	0.15384615384615385	0.15384615384615385	0.07692307692307693	0.07692307692307693	0.0	2.9522843073948546	2.8751776400200684	medium	medium	An essay about the article 313, written by a 34 years old white female, went to college, with an income of 90000$.	The essay expresses medium empathy and medium distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: sadness.
R_2D8EJ23JFdZWYyR_4	R_2D8EJ23JFdZWYyR	266	5.5	4.75	1	1	A Cincinnati Zoo had improper safety regulations which led to a 3 year old boy falling into a Gorilla pit. This was the Harambe thing everyone was talking about years ago. They ended up shooting the Gorilla in an attempt to prevent the child from getting hurt, but there was a lot of uproar over whether it was necessary or not. It's a happy ending for the kid but I really wish both lived.	sadness	1	2	1	26	23400	2.0	3.0	1.5	6.5	4.5	4.714	3.429	2.4290000000000003	4.714	74	27	0.14285714285714285	0.09523809523809523	0.14285714285714285	0.047619047619047616	0.0	0.09523809523809523	0.23809523809523808	0.09523809523809523	0.047619047619047616	0.09523809523809523	0.06666666666666667	2.4313498951086308	2.3975294351609104	low	low	An essay about the article 266, written by a 26 years old white male, with a high school diploma, with an income of 23400$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: fear.
R_3wr4CIeY7F2sP73_5	R_3wr4CIeY7F2sP73	336	6.167000000000001	5.125	1	1	YOu hear about the environmental cost of using coal, but it is very upsetting to read about specific people and how their lives have changed, for the worse, because of coal mining.  Further upsetting is to hear about the animals effected.  Elephants invading villages, being electrocuted, hurting humans, all because their land is being taken for coal.  Sad! People are dying from lack of fresh air and water, and it is wrong.	sadness	2	6	1	42	105000	6.0	6.5	3.0	6.5	2.5	3.714	2.4290000000000003	4.714	4.714	72	28	0.2	0.13333333333333333	0.0	0.0	0.0	0.06666666666666667	0.3333333333333333	0.2	0.06666666666666667	0.0	0.0	3.3846247895138175	3.1621703631302385	medium	high	An essay about the article 336, written by a 42 years old white female, with a four year bachelor's degree, with an income of 105000$.	The essay expresses medium empathy and high distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: sadness.
R_3j9u5KMZbQS89kp_4	R_3j9u5KMZbQS89kp	253	1.5	4.375	0	1	After reading this article it seem like a nightmare is becoming a reality. Today drug user, especially opiod user, are taking there drugs in front of their children. It seems like the drug user are tired of taking their drugs and having people around them disagree with their habits. Its really a shame that parent are doing these drugs in front of their kids.	sadness	1	6	2	27	42500	6.5	6.0	2.0	2.0	4.0	3.571	2.857	4.0	3.429	64	29	0.2	0.1	0.0	0.0	0.0	0.1	0.4	0.1	0.1	0.0	0.0	2.9596993994280143	2.9443126159137596	medium	low	An essay about the article 253, written by a 27 years old hispanic or latino male, with a four year bachelor's degree, with an income of 42500$.	The essay expresses medium empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: fear.
R_O8rkxaPvmC2DHTX_2	R_O8rkxaPvmC2DHTX	156	6.5	5.875	1	1	Hey B, remember that conversation we had the other day, well I found an article that talks about it.  It basically says that humans have destroyed 10 percent of Earth's wilderness in the last 25 years.  The article said that the total land area is about half the size of the Amazon and twice the size of the whole state of Alaska.  That is about 1.3 million square miles of wilderness, that just disappeared.  The article also revealed that humanity has one to two decades more to turn it around before it is too late.  I hope something is done soon and I'll send you a link to the article.	sadness	2	2	1	32	50000	7.0	6.5	1.0	7.0	4.5	4.428999999999999	4.143	4.428999999999999	5.0	110	30	0.125	0.041666666666666664	0.125	0.125	0.041666666666666664	0.16666666666666666	0.08333333333333333	0.16666666666666666	0.0	0.125	0.045454545454545456	2.7362472132521973	2.5652156466863123	low	low	An essay about the article 156, written by a 32 years old white female, with a high school diploma, with an income of 50000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: sadness.
R_STWx9e4pDejyni9_5	R_STWx9e4pDejyni9	399	5.0	6.625	1	1	This is terrible and really solidifies everything I feel about the racially tense issues going on in america right now that are just fueled by our current president. No one should ever have to be a victim of a senseless act only because of the type of person they are. We are all equal no matter our religion race anything. We need to really open our eyes up and realize there needs to be more love in the world.	sadness	2	3	1	24	50000	6.5	5.0	5.0	5.0	4.5	4.714	3.714	4.857	4.428999999999999	79	31	0.15	0.15	0.0	0.1	0.05	0.1	0.15	0.15	0.1	0.05	0.0	2.969233248286962	2.982277210863888	low	low	An essay about the article 399, written by a 24 years old white female, went to a technical/vocational school, with an income of 50000$.	The essay expresses low empathy and low distress levels.	 The top emotions expressed in the essay, according to the NRC lexicon, are: anger, sadness.
